commit date git,commit sha,jira_id,affected versions,fixed version
2015-08-26T14:53:57Z,054ea9ca212911475b6d8b0bd16011c9f831c980,SYNCOPE-686,[1.2.5],[1.2.6  2.0.0-M1],2015-08-25T09:17:07.000+0000
2015-08-26T14:26:23Z,a1737d35ad33c426e89a48259f0655ba3736ac6c,SYNCOPE-686,[1.2.5],[1.2.6  2.0.0-M1],2015-08-25T09:17:07.000+0000
2015-07-23T08:55:40Z,fe7fa1324dd1ae2815c0161a0c39cfc4e9c8ba97,SYNCOPE-684,[1.2.4],[1.2.5  2.0.0-M1],2015-07-23T08:47:24.000+0000
2015-07-23T08:53:04Z,660b0ce88b22152e816b7c7812eb6e1bdfdc496b,SYNCOPE-684,[1.2.4],[1.2.5  2.0.0-M1],2015-07-23T08:47:24.000+0000
2015-07-13T10:02:23Z,81a66445f1e7db024a602146e9eb51f44752ea64,SYNCOPE-683,[1.2.4],[1.2.5],2015-07-13T09:51:17.000+0000
2015-07-13T09:57:49Z,f5df7f5cb3f5dfde39c90cbb85fe0971345a8728,SYNCOPE-682,[1.2.4],[1.2.5],2015-07-13T09:39:20.000+0000
2015-07-13T09:17:16Z,f45f2d9bf1ff5d7e2eb177fc07660916fbfe4ca6,SYNCOPE-678,[1.2.4],[1.2.5  2.0.0-M1],2015-07-08T07:39:10.000+0000
2015-07-13T08:47:41Z,73d0975b015308a673767cb5aa890782a75afde5,SYNCOPE-678,[1.2.4],[1.2.5  2.0.0-M1],2015-07-08T07:39:10.000+0000
2015-07-08T08:00:25Z,22c91a79422831acd8007a2a17c85f7d27c9445c,SYNCOPE-677,[1.2.4],[1.2.5],2015-07-08T07:36:43.000+0000
2015-05-27T10:20:38Z,c608b58540b1f6089e466096522042fd244b5368,SYNCOPE-673,[1.2.2  1.2.3  1.2.4],[1.2.5  2.0.0-M1],2015-05-27T07:35:23.000+0000
2015-05-27T10:17:51Z,8ea1e6acc0972628aaf7a011e04370fc1cbd87df,SYNCOPE-673,[1.2.2  1.2.3  1.2.4],[1.2.5  2.0.0-M1],2015-05-27T07:35:23.000+0000
2015-05-27T09:58:25Z,f672ce4925667fd80582878bdd55b9b0d644af0d,SYNCOPE-673,[1.2.2  1.2.3  1.2.4],[1.2.5  2.0.0-M1],2015-05-27T07:35:23.000+0000
2015-05-25T15:28:03Z,55d846eee3ded55ac9bcda2aec21b3bb4ce53fcd,SYNCOPE-672,[1.2.4],[1.2.5  2.0.0-M1],2015-05-25T14:49:40.000+0000
2015-05-25T15:16:09Z,13abc83310e7d204ccc47d39d5d7513392648006,SYNCOPE-672,[1.2.4],[1.2.5  2.0.0-M1],2015-05-25T14:49:40.000+0000
