"versione","file","LOC Touched","LOC added","Max LOC added","Avg LOC added","Churn","Max churn","Avg churn","Change set size","Max change set","Avg change set"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/util/Either.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/util/Option.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java","0","0","0","0.0","0","0","0.0","0","0","0.0","YES"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java","0","0","0","0.0","0","0","0.0","0","0","0.0","No"
