commit date,commit sha,jira_id
2018-03-07T15:27:09Z,83531c9af77d484229581dd28f9cc1ec6914ae69,SYNCOPE-1280
2018-03-07T08:47:58Z,e550506eeb881e40130e68fffa9a9d6561af4782,SYNCOPE-1225
2018-03-06T15:03:33Z,e82e43cdd1ecdd7dcb1cca6d2a0e003c736b56cb,SYNCOPE-1225
2018-03-05T16:50:23Z,3e36930168db1486dde7cadc3c265f817cd9fc5f,SYNCOPE-1225
2018-03-02T11:47:00Z,772206a4cb0cadb5ace021e3608d5fcd5b78f505,SYNCOPE-1279
2018-02-22T16:50:23Z,ccca7072caaa538c28818195e6d744fc61ac1a6e,SYNCOPE-1269
2018-02-21T11:57:34Z,0ee44d88c519da839d0310bc6c1d74d9376054fc,SYNCOPE-1275
2018-02-20T11:54:33Z,9574ada8c2893ebe4ffd87e9e4832df1cd534f05,SYNCOPE-1276
2018-02-20T10:09:44Z,e725c72b30ce44e4bde02fac6b456a0b01318950,SYNCOPE-1262
2018-02-19T13:11:08Z,6498a0bf7186d4a5c68ae27131e74f743064f0b7,SYNCOPE-1274
2018-02-16T15:27:00Z,b287058182150dd499e1439d03105e975a0e721b,SYNCOPE-1274
2018-02-15T16:03:36Z,49ca71d8c3d3d1d9c126aa9fc9808dac2b3b0d5b,SYNCOPE-1274
2018-02-13T20:46:12Z,08c1aa43b3f6a3e700bf3675120b5315c0dffb3a,SYNCOPE-1274
2018-02-13T17:24:07Z,5cbdfe7bc58c37a026226b743d2ed9685ad19c37,SYNCOPE-1262
2018-02-13T16:23:40Z,7958ebd48fadf04ad4b6d4f8a10507b6d5d078a0,SYNCOPE-1262
2018-02-13T16:01:43Z,eb1cd3ff22d099c3c4978f56d104433f5bc23f31,SYNCOPE-1262
2018-02-13T15:20:10Z,b0b0e3294dd893d44845295f6a0f570d33fcc607,SYNCOPE-1262
2018-02-13T14:44:06Z,0e93bec6c37c9d8a2d0b1d69613e8173cd49726e,SYNCOPE-1274
2018-02-12T10:40:29Z,be4f145f917117f9d69e084433d90ca56691d870,SYNCOPE-1272
2018-02-06T14:51:35Z,52c0ad3f2f5d6259ce583a0817ce2dbf10ceecf4,SYNCOPE-1267
