version,commit sha,jira_id,affected versions,fixed version,opening version,opening data,fixed data,commit file,added,deleted
1.0.6,e5daefcf7860440e81fba965d1e92671fb6b09d9,SYNCOPE-297,1.0.6  1.0.7,1.1.0,1.0.6,2013-01-29T10:53:57.000+0000,2013-01-31T16:07:53.000+0000,common/src/main/java/org/apache/syncope/common/to/MappingTO.java console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxCheckBoxPanel.java console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxDropDownChoicePanel.java console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/FieldPanel.java,2 9 0 6 1,2 4 2 3 2
1.0.6,e522014cc19b53d6dca57e6f80f2c7335a81590e,SYNCOPE-301,1.0.5,1.0.6,1.0.6,2013-01-30T11:27:32.000+0000,2013-01-30T17:57:42.000+0000,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractBaseBean.java core/src/main/java/org/apache/syncope/core/persistence/beans/user/SyncopeUser.java core/src/main/java/org/apache/syncope/core/security/SyncopeAuthenticationProvider.java core/src/main/java/org/apache/syncope/core/sync/impl/SyncopeSyncResultHandler.java core/src/main/java/org/apache/syncope/core/workflow/WorkflowResult.java core/src/main/java/org/apache/syncope/core/workflow/user/NoOpUserWorkflowAdapter.java core/src/test/java/org/apache/syncope/core/rest/TaskTestITCase.java,2 1 1 136 0 4 25,3 1 2 80 3 4 18
1.0.6,9778213812636ed23c2785d320cd6416b85d2fbb,SYNCOPE-306,1.0.6  1.0.7,1.1.0,1.0.6,2013-02-01T10:55:47.000+0000,2013-02-01T14:27:47.000+0000,core/src/main/java/org/apache/syncope/core/rest/data/AbstractAttributableDataBinder.java,1,1
1.0.6,cb073867742100bc01254f4aa8e190b0248b4df3,SYNCOPE-308,1.0.5,1.0.6,1.0.6,2013-02-04T16:55:08.000+0000,2013-02-11T17:07:08.000+0000,core/src/main/java/org/apache/syncope/core/workflow/user/activiti/ActivitiUserWorkflowAdapter.java core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/Delete.java,1 0,1 1
1.0.6,81501d869d318bcffa2f11aad2896becfdad2f24,SYNCOPE-309,1.0.5,1.0.6,1.0.6,2013-02-04T17:18:28.000+0000,2013-02-25T12:03:55.000+0000,console/src/main/java/org/apache/syncope/console/pages/NotificationModalPage.java console/src/main/java/org/apache/syncope/console/pages/ResourceModalPage.java console/src/main/java/org/apache/syncope/console/pages/RoleModalPage.java console/src/main/java/org/apache/syncope/console/pages/UserModalPage.java console/src/main/java/org/apache/syncope/console/pages/Users.java,2 1 2 1 19,0 0 0 0 15
1.0.6,eb4f73b6ba5b4b96a26e06b65ad7930b641ac94c,SYNCOPE-309,1.0.5,1.0.6,1.0.6,2013-02-04T17:18:28.000+0000,2013-02-25T12:03:55.000+0000,console/src/test/java/org/apache/syncope/console/ConfigurationTestITCase.java console/src/test/java/org/apache/syncope/console/ResourceTestITCase.java console/src/test/java/org/apache/syncope/console/RoleTestITCase.java,13 5 15,13 5 15
1.0.6,3ef7baf73e3d9e83e3fb3b27aa5152ffc2a63931,SYNCOPE-310,1.0.5,1.0.6,1.0.6,2013-02-08T11:34:53.000+0000,2013-02-08T12:19:26.000+0000,console/src/main/java/org/apache/syncope/console/pages/panels/ResourcesPanel.java console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/AjaxPalettePanel.java console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/NonI18nPalette.java console/src/test/java/org/apache/syncope/console/ConfigurationTestITCase.java,2 1 138 3,1 1 0 5
1.0.6,9ffda20d58ceac302d130634602a4fcd8a1cc9be,SYNCOPE-310,1.0.5,1.0.6,1.0.6,2013-02-08T11:34:53.000+0000,2013-02-08T12:19:26.000+0000,console/src/main/java/org/apache/syncope/console/wicket/markup/html/form/NonI18nPalette.java,2,87
1.0.6,e233932c16d6174d5ca056a8190a925337f46954,SYNCOPE-312,1.0.6  1.0.7,1.1.0,1.0.6,2013-02-08T13:15:10.000+0000,2013-02-27T13:45:16.000+0000,client/src/main/java/org/apache/syncope/client/services/proxy/UserServiceProxy.java client/src/main/java/org/apache/syncope/client/services/proxy/UserWorkflowServiceProxy.java common/src/main/java/org/apache/syncope/common/services/UserService.java common/src/main/java/org/apache/syncope/common/services/UserWorkflowService.java console/src/main/java/org/apache/syncope/console/rest/ApprovalRestClient.java core/src/main/java/org/apache/syncope/core/services/UserServiceImpl.java core/src/main/java/org/apache/syncope/core/services/UserWorkflowServiceImpl.java core/src/test/java/org/apache/syncope/core/rest/AbstractTest.java core/src/test/java/org/apache/syncope/core/rest/UserTestITCase.java,0 63 2 52 4 0 63 6 8,29 0 23 0 4 28 0 0 7
1.0.6,a9b3526e9de3e27baee367bfb7986f96f976e940,SYNCOPE-312,1.0.6  1.0.7,1.1.0,1.0.6,2013-02-08T13:15:10.000+0000,2013-02-27T13:45:16.000+0000,console/src/main/java/org/apache/syncope/console/SyncopeSession.java,3,0
